I,m,a,g,e,,,,,,,,,,,,,
T,i,m,e, ,d,i,f,f,e,r,e,n,c,e,,,
r,o,l,l,,,,,,,,,,,,,,
p,i,t,c,h,,,,,,,,,,,,,
y,a,w,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,
y,,,,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,,,,
v,x,,,,,,,,,,,,,,,,
v,y,,,,,,,,,,,,,,,,
v,z,,,,,,,,,,,,,,,,
/rec_0184,23.3070640563965,0,0,1,1500000000001.81,2500000000001.74,-0.106664924079769,0,0,1,,,,,,,-1.89286159984508
/rec_0185,23.4495935440063,0,0,1,1500000000001.81,2500000000001.74,-0.10879032259199,0,0,2,,,,,,,-1.90374063210428
/rec_0186,23.5956621170044,0,0,1,1500000000001.81,2500000000001.74,-0.117167285942776,0,0,4,,,,,,,-1.91545736069855
/rec_0187,23.7421457767487,0,0,1,1500000000001.81,2500000000001.74,-0.125535486779596,0,0,4,,,,,,,-1.92801090937651
/rec_0188,23.8929216861725,0,0,1,1500000000001.81,2500000000001.74,-0.133757480613101,0,0,4,,,,,,,-1.94138665743782
/rec_0189,24.0384097099304,0,0,1,1500000000001.81,2500000000001.74,-0.141797681618126,0,0,4,,,,,,,-1.95556642559963
/rec_0190,24.1800277233124,0,0,1,1500000000001.81,2500000000001.74,-0.149821753834776,0,0,4,,,,,,,-1.97054860098311
/rec_0191,24.3581564426422,0,0,1,1500000000001.81,2500000000001.74,-0.157680300003734,0,0,4,,,,,,,-1.98631663098349
/rec_0192,24.4934031963348,0,0,1,1500000000001.81,2500000000001.74,-0.165860259103939,0,0,4,,,,,,,-2.00290265689388
/rec_0193,24.6463530063629,0,0,1,1500000000001.81,2500000000001.74,-0.173860259103939,0,0,4,,,,,,,-2.02028868280427
/rec_0194,24.778582572937,0,0,1,1500000000001.81,2500000000001.74,-0.181393215789438,0,0,4,,,,,,,-2.03842800438322
/rec_0195,24.9027786254883,0,0,1,1500000000001.81,2500000000001.74,-0.185749459739099,0,0,3,,,,,,,-2.05700295035713
/rec_0196,25.0165102481842,0,0,1,1500000000001.81,2500000000001.74,-0.190101490686875,0,0,3,,,,,,,-2.07601309942581
/rec_0197,25.1638066768646,0,0,1,1500000000001.81,2500000000001.74,-0.192060354545837,0,0,2,,,,,,,-2.0952191348804
/rec_0198,25.3111779689789,0,0,2,1500000000001.81,2500000000001.74,-0.192591140108469,0,0,1,,,,,,,-2.11447824889124
/rec_0199,25.4502940177917,0,0,1,1500000000001.82,2500000000001.74,-0.192591140108469,-1,0,0,,,,,,,-2.13373736290209
/rec_0200,25.5900268554687,0,0,1,1500000000001.8,2500000000001.78,-0.192591140108469,-1,1,0,,,,,,,-2.15299647691294
/rec_0201,25.7554907798767,0,0,1,1500000000001.74,2500000000001.95,-0.192591140108469,-1,1,0,,,,,,,-2.17225559092379
/rec_0202,25.8900928497314,0,0,1,1500000000001.76,2500000000001.91,-0.192591140108469,-1,1,0,,,,,,,-2.19151470493463
